accuracy,epoch,loss,step,train_accuracy_epoch,validation_accuracy
0.375,0,1.381121277809143,49,,
0.28125,0,1.619086503982544,99,,
0.46875,0,1.3687437772750854,149,,
0.34375,0,1.602623462677002,199,,
0.375,0,1.4809482097625732,249,,
0.28125,0,1.6263141632080078,299,,
0.375,0,1.5899922847747803,349,,
0.34375,0,1.5387965440750122,399,,
0.46875,0,1.5099917650222778,449,,
0.46875,0,1.4051671028137207,499,,
0.40625,0,1.5645188093185425,549,,
0.28125,0,1.4739197492599487,599,,
0.3125,0,1.5007811784744263,649,,
0.28125,0,1.6488176584243774,699,,
0.375,0,1.6806377172470093,749,,
0.34375,0,1.5623904466629028,799,,
0.28125,0,1.5247724056243896,849,,
0.1875,0,1.6340686082839966,899,,
0.25,0,1.570257306098938,949,,
0.28125,0,1.4799408912658691,999,,
0.46875,0,1.4035382270812988,1049,,
0.25,0,1.6517091989517212,1099,,
0.1875,0,1.6332565546035767,1149,,
0.34375,0,1.5006604194641113,1199,,
0.375,0,1.5262730121612549,1249,,
0.21875,0,1.626176118850708,1299,,
0.34375,0,1.6078922748565674,1349,,
0.25,0,1.5956993103027344,1399,,
0.25,0,1.6378998756408691,1449,,
0.53125,0,1.4333007335662842,1499,,
0.5,0,1.5817084312438965,1549,,
0.28125,0,1.6026930809020996,1599,,
0.25,0,1.5350548028945923,1649,,
0.375,0,1.517286777496338,1699,,
0.40625,0,1.551376461982727,1749,,
0.28125,0,1.592803955078125,1799,,
0.34375,0,1.534783124923706,1849,,
0.375,0,1.6184792518615723,1899,,
0.375,0,1.655951976776123,1949,,
0.375,0,1.4879904985427856,1999,,
0.25,0,1.4733378887176514,2049,,
0.4375,0,1.3762564659118652,2099,,
0.4375,0,1.5255041122436523,2149,,
0.3125,0,1.5862973928451538,2199,,
0.34375,0,1.4179251194000244,2249,,
0.34375,0,1.508884072303772,2299,,
0.25,0,1.7570302486419678,2349,,
0.25,0,1.6238073110580444,2399,,
0.34375,0,1.5318444967269897,2449,,
0.34375,0,1.593746542930603,2499,,
0.3125,0,1.5376529693603516,2549,,
0.3125,0,1.4590750932693481,2599,,
0.34375,0,1.5981184244155884,2649,,
0.34375,0,1.5938760042190552,2699,,
